"Game Number","Team 1","Team 2","Winner","Team 1 is Winner of","Team 2 is Winner of","Team 1 is Loser of","Team 2 is Loser of","Num Ots","Cupdifs"
"1","#SPLÖH","Yks Maks Kaks #Roadtoesobp2018"," "," "," "," "," ","0","0"
"2","2 Balls 1 Cup","YGAC"," "," "," "," "," ","0","0"
"3","2 guys and 15 cups","WilNa"," "," "," "," "," ","0","0"
"4","Aftergolf 1","vkv"," "," "," "," "," ","0","0"
"5","Aftergolf 2","Viinarypäleet"," "," "," "," "," ","0","0"
"6","Bailataan","Viihde- ja Rytmiorkesteri Kupit Taa"," "," "," "," "," ","0","0"
"7","Balotalli ja kannettava","Veli Auta!"," "," "," "," "," ","0","0"
"8","Bambi killers","Velhon Hiha"," "," "," "," "," ","0","0"
"9","Beast Mode","Vekkulit pallopojat"," "," "," "," "," ","0","0"
"10","Beer Hunters","Turmaliini"," "," "," "," "," ","0","0"
"11","BeerEaters","Tuplaajat"," "," "," "," "," ","0","0"
"12","BI Pehmeä Jänis","Tukkimiehet"," "," "," "," "," ","0","0"
"13","Big Dick Bros","Triplaajat"," "," "," "," "," ","0","0"
"14","Borgå Beerpong Team","TOOU"," "," "," "," "," ","0","0"
"15","CS","Tirehtöörit"," "," "," "," "," ","0","0"
"16","cuisine pintahiiva","The Team Representing UARC"," "," "," "," "," ","0","0"
"17","Dikki Hiiret","The Plastered Penguins"," "," "," "," "," ","0","0"
"18","Dominanssi","The Notorious"," "," "," "," "," ","0","0"
"19","Dynamic Duo","The Landers"," "," "," "," "," ","0","0"
"20","Econ101","TeamPaske"," "," "," "," "," ","0","0"
"21","En tiedä","Team Lehmä"," "," "," "," "," ","0","0"
"22","Esbo Invictus","Team kyrpäjyrät"," "," "," "," "," ","0","0"
"23","FastBall","Team King Pong"," "," "," "," "," ","0","0"
"24","FC jokakutihuti","Team bad boys"," "," "," "," "," ","0","0"
"25","Heavenly Peace Gods From Heaven 777","Team"," "," "," "," "," ","0","0"
"26","Helppoo ja Kivaa","SoppaSamut"," "," "," "," "," ","0","0"
"27","Holy Cups","Sandelsbanken"," "," "," "," "," ","0","0"
"28","hulahulaukot","Ruko"," "," "," "," "," ","0","0"
"29","Humulus Lupulus","Rosmosektori"," "," "," "," "," ","0","0"
"30","Huru Ukot","Rogue Juan"," "," "," "," "," ","0","0"
"31","Hytti 8512","RED"," "," "," "," "," ","0","0"
"32","Ison Kissan Vittu","RaVe"," "," "," "," "," ","0","0"
"33","Junnuketju","Pyskoosi"," "," "," "," "," ","0","0"
"34","Kim Jong Pong","Puta de madre"," "," "," "," "," ","0","0"
"35","King Pong","Puhikset"," "," "," "," "," ","0","0"
"36","Kisaturistit","Power of Zöng"," "," "," "," "," ","0","0"
"37","Foreskin Jackets","Pontterin Ponnistus"," "," "," "," "," ","0","0"
"38","Kissatiimi","Piisamirotan kätyrit"," "," "," "," "," ","0","0"
"39","Koff story","Pienet Pallerot"," "," "," "," "," ","0","0"
"40","KYRÖÖ","PC SuihinKuivat"," "," "," "," "," ","0","0"
"41","Käbnus","Pasilapojat"," "," "," "," "," ","0","0"
"42","Liikunnan Riemu","OJ Pingpong"," "," "," "," "," ","0","0"
"43","Llaama jengi","Nooran Faniduo"," "," "," "," "," ","0","0"
"44","Make Tiko Great Again","noname"," "," "," "," "," ","0","0"
"45","Man Chesthair United","Niin vitusti tää"," "," "," "," "," ","0","0"
"46","Massen mussukat","Nahkaparonit"," "," "," "," "," ","0","0"
"47","Masturboys","Myllyynvettä"," "," "," "," "," ","0","0"
"48","Moist Ballz","Mr. T"," "," "," "," "," ","0","0"
"49","2 Balls 1 Cup","#SPLÖH"," "," "," "," "," ","0","0"
"50","Yks Maks Kaks #Roadtoesobp2018","2 guys and 15 cups"," "," "," "," "," ","0","0"
"51","YGAC","Aftergolf 1"," "," "," "," "," ","0","0"
"52","WilNa","Aftergolf 2"," "," "," "," "," ","0","0"
"53","vkv","Bailataan"," "," "," "," "," ","0","0"
"54","Viinarypäleet","Balotalli ja kannettava"," "," "," "," "," ","0","0"
"55","Viihde- ja Rytmiorkesteri Kupit Taa","Bambi killers"," "," "," "," "," ","0","0"
"56","Veli Auta!","Beast Mode"," "," "," "," "," ","0","0"
"57","Velhon Hiha","Beer Hunters"," "," "," "," "," ","0","0"
"58","Vekkulit pallopojat","BeerEaters"," "," "," "," "," ","0","0"
"59","Turmaliini","BI Pehmeä Jänis"," "," "," "," "," ","0","0"
"60","Tuplaajat","Big Dick Bros"," "," "," "," "," ","0","0"
"61","Tukkimiehet","Borgå Beerpong Team"," "," "," "," "," ","0","0"
"62","Triplaajat","CS"," "," "," "," "," ","0","0"
"63","TOOU","cuisine pintahiiva"," "," "," "," "," ","0","0"
"64","Tirehtöörit","Dikki Hiiret"," "," "," "," "," ","0","0"
"65","The Team Representing UARC","Dominanssi"," "," "," "," "," ","0","0"
"66","The Plastered Penguins","Dynamic Duo"," "," "," "," "," ","0","0"
"67","The Notorious","Econ101"," "," "," "," "," ","0","0"
"68","The Landers","En tiedä"," "," "," "," "," ","0","0"
"69","TeamPaske","Esbo Invictus"," "," "," "," "," ","0","0"
"70","Team Lehmä","FastBall"," "," "," "," "," ","0","0"
"71","Team kyrpäjyrät","FC jokakutihuti"," "," "," "," "," ","0","0"
"72","Team King Pong","Heavenly Peace Gods From Heaven 777"," "," "," "," "," ","0","0"
"73","Team bad boys","Helppoo ja Kivaa"," "," "," "," "," ","0","0"
"74","Team","Holy Cups"," "," "," "," "," ","0","0"
"75","SoppaSamut","hulahulaukot"," "," "," "," "," ","0","0"
"76","Sandelsbanken","Humulus Lupulus"," "," "," "," "," ","0","0"
"77","Ruko","Huru Ukot"," "," "," "," "," ","0","0"
"78","Rosmosektori","Hytti 8512"," "," "," "," "," ","0","0"
"79","Rogue Juan","Ison Kissan Vittu"," "," "," "," "," ","0","0"
"80","RED","Junnuketju"," "," "," "," "," ","0","0"
"81","RaVe","Kim Jong Pong"," "," "," "," "," ","0","0"
"82","Pyskoosi","King Pong"," "," "," "," "," ","0","0"
"83","Puta de madre","Kisaturistit"," "," "," "," "," ","0","0"
"84","Puhikset","Foreskin Jackets"," "," "," "," "," ","0","0"
"85","Power of Zöng","Kissatiimi"," "," "," "," "," ","0","0"
"86","Pontterin Ponnistus","Koff story"," "," "," "," "," ","0","0"
"87","Piisamirotan kätyrit","KYRÖÖ"," "," "," "," "," ","0","0"
"88","Pienet Pallerot","Käbnus"," "," "," "," "," ","0","0"
"89","PC SuihinKuivat","Liikunnan Riemu"," "," "," "," "," ","0","0"
"90","Pasilapojat","Llaama jengi"," "," "," "," "," ","0","0"
"91","OJ Pingpong","Make Tiko Great Again"," "," "," "," "," ","0","0"
"92","Nooran Faniduo","Man Chesthair United"," "," "," "," "," ","0","0"
"93","noname","Massen mussukat"," "," "," "," "," ","0","0"
"94","Niin vitusti tää","Masturboys"," "," "," "," "," ","0","0"
"95","Nahkaparonit","Moist Ballz"," "," "," "," "," ","0","0"
"96","Myllyynvettä","Mr. T"," "," "," "," "," ","0","0"
"97","#SPLÖH","2 guys and 15 cups"," "," "," "," "," ","0","0"
"98","Aftergolf 1","2 Balls 1 Cup"," "," "," "," "," ","0","0"
"99","Aftergolf 2","Yks Maks Kaks #Roadtoesobp2018"," "," "," "," "," ","0","0"
"100","Bailataan","YGAC"," "," "," "," "," ","0","0"
"101","Balotalli ja kannettava","WilNa"," "," "," "," "," ","0","0"
"102","Bambi killers","vkv"," "," "," "," "," ","0","0"
"103","Beast Mode","Viinarypäleet"," "," "," "," "," ","0","0"
"104","Beer Hunters","Viihde- ja Rytmiorkesteri Kupit Taa"," "," "," "," "," ","0","0"
"105","BeerEaters","Veli Auta!"," "," "," "," "," ","0","0"
"106","BI Pehmeä Jänis","Velhon Hiha"," "," "," "," "," ","0","0"
"107","Big Dick Bros","Vekkulit pallopojat"," "," "," "," "," ","0","0"
"108","Borgå Beerpong Team","Turmaliini"," "," "," "," "," ","0","0"
"109","CS","Tuplaajat"," "," "," "," "," ","0","0"
"110","cuisine pintahiiva","Tukkimiehet"," "," "," "," "," ","0","0"
"111","Dikki Hiiret","Triplaajat"," "," "," "," "," ","0","0"
"112","Dominanssi","TOOU"," "," "," "," "," ","0","0"
